"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 12:34:10 GMT 2022","Wed Oct 26 12:34:24 GMT 2022","13529","","Customer search","","Customer search","COMM-01: unable to find costumer","COMM-01: unable to find costumer",""
"passed","Wed Oct 26 12:34:24 GMT 2022","Wed Oct 26 12:34:37 GMT 2022","13624","","Customer search","","Customer search","COMM-02: find user by email","COMM-02: find user by email",""
