"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 14:08:08 GMT 2022","Wed Oct 26 14:08:23 GMT 2022","14767","","Customer search","","Customer search","COMM-01: unable to find costumer","COMM-01: unable to find costumer",""
"passed","Wed Oct 26 14:08:23 GMT 2022","Wed Oct 26 14:08:37 GMT 2022","14053","","Customer search","","Customer search","COMM-02: find user by email","COMM-02: find user by email",""
